Name,Screen Name,Constituency,Party,Followers
Valerie Vaz,Valerie_VazMP,Walsall South,Labour,"4,862"
Vernon Coaker,Vernon_Coaker,Gedling,Labour,"22,611"
Vicky Foxcroft,vickyfoxcroft,"Lewisham, Deptford",Labour,"13,283"
Virendra Sharma,VirendraSharma,"Ealing, Southall",Labour,"15,778"
Wayne David,WayneDavid_MP,Caerphilly,Labour,"11,650"
Wes Streeting,wesstreeting,Ilford North,Labour,"50,049"
Yasmin Qureshi,YasminQureshiMP,Bolton South East,Labour,"18,405"
Yvette Cooper,YvetteCooperMP,"Normanton, Pontefract and Castleford",Labour,"239,815"
Yvonne Fovargue,Y_FovargueMP,Makerfield,Labour,"10,341"
Alistair Carmichael,amcarmichaelMP,Orkney and Shetland,Liberal Democrat,"14,975"
Christine Jardine,cajardineMP,Edinburgh West,Liberal Democrat,"8,189"
Chuka Umunna,ChukaUmunna,Streatham,Liberal Democrat,"377,933"
Edward Davey,EdwardJDavey,Kingston and Surbiton,Liberal Democrat,"27,095"
Jamie Stone,Jamie4North,"Caithness, Sutherland and Easter Ross",Liberal Democrat,"4,243"
Jo Swinson,joswinson,East Dunbartonshire,Liberal Democrat,"61,503"
Layla Moran,laylamoran,Oxford West and Abingdon,Liberal Democrat,"38,881"
Norman Lamb,normanlamb,North Norfolk,Liberal Democrat,"45,835"
Stephen Lloyd,StephenLloydEBN,Eastbourne,Liberal Democrat,"6,557"
Tim Farron,timfarron,Westmorland and Lonsdale,Liberal Democrat,"294,430"
Tom Brake,thomasbrake,Carshalton and Wallington,Liberal Democrat,"68,025"
Vincent Cable,vincecable,Twickenham,Liberal Democrat,"170,077"
Wera Hobhouse,Wera_Hobhouse,Bath,Liberal Democrat,"13,385"
Ben Lake,BenMLake,Ceredigion,Plaid Cymru,"5,129"
Hywel Williams,HywelPlaidCymru,Arfon,Plaid Cymru,"8,217"
Jonathan Edwards,JonathanPlaid,Carmarthen East and Dinefwr,Plaid Cymru,"11,367"
Liz Saville Roberts,lsrplaid,Dwyfor Meirionnydd,Plaid Cymru,"10,264"
Alan Brown,AlanBrownSNP,Kilmarnock and Loudoun,Scottish National Party,"9,733"
Alison Thewliss,alisonthewliss,Glasgow Central,Scottish National Party,"22,406"
Angela Crawley,AngelaCrawley30,Lanark and Hamilton East,Scottish National Party,"12,292"
Angus MacNeil,AngusMacNeilSNP,Na h-Eileanan an Iar,Scottish National Party,"31,987"
Brendan O'Hara,BrendanOHaraSNP,Argyll and Bute,Scottish National Party,"11,729"
Carol Monaghan,CMonaghanSNP,Glasgow North West,Scottish National Party,"16,791"
Chris Law,ChrisLawSNP,Dundee West,Scottish National Party,"16,139"
Chris Stephens,ChrisStephens,Glasgow South West,Scottish National Party,"13,993"
David Linden,DavidLinden,Glasgow East,Scottish National Party,"8,535"
Deidre Brock,DeidreBrock,Edinburgh North and Leith,Scottish National Party,"12,773"
Douglas Chapman,DougChapmanSNP,Dunfermline and West Fife,Scottish National Party,"11,617"
Dr Lisa Cameron,DrLisaCameronMP,"East Kilbride, Strathaven and Lesmahagow",Scottish National Party,"11,953"
Dr Philippa Whitford,Dr_PhilippaW,Central Ayrshire,Scottish National Party,"21,372"
Drew Hendry,drewhendrySNP,"Inverness, Nairn, Badenoch and Strathspey",Scottish National Party,"11,934"
Gavin Newlands,GavNewlandsSNP,Paisley and Renfrewshire North,Scottish National Party,"10,831"
Hannah Bardell,HannahB4LiviMP,Livingston,Scottish National Party,"19,734"
Ian Blackford,IanBlackfordMP,"Ross, Skye and Lochaber",Scottish National Party,"46,195"
Joanna Cherry QC,joannaccherry,Edinburgh South West,Scottish National Party,"55,516"
John Mc Nally,JohnMcNallyMP,Falkirk,Scottish National Party,"7,561"
Kirsty Blackman,KirstySNP,Aberdeen North,Scottish National Party,"18,237"
Marion Fellows,marionfellows,Motherwell and Wishaw,Scottish National Party,"9,482"
Martin Docherty-Hughes,martinjdocherty,West Dunbartonshire,Scottish National Party,"11,586"
Martyn Day,MartynDaySNP,Linlithgow and East Falkirk,Scottish National Party,"8,757"
Mhairi Black,MhairiBlack,Paisley and Renfrewshire South,Scottish National Party,"159,194"
Neil Gray,NeilGrayMP,Airdrie and Shotts,Scottish National Party,"11,484"
Patricia Gibson,PGibsonSNP,North Ayrshire and Arran,Scottish National Party,"10,652"
Patrick Grady,GradySNP,Glasgow North,Scottish National Party,"13,718"
Pete Wishart,PeteWishart,Perth and North Perthshire,Scottish National Party,"41,562"
Peter Grant,PeterGrantMP,Glenrothes,Scottish National Party,"13,091"
Ronnie Cowan,ronniecowan,Inverclyde,Scottish National Party,"10,425"
Stephen Gethins,StephenGethins,North East Fife,Scottish National Party,"16,455"
Stewart Hosie,StewartHosieSNP,Dundee East,Scottish National Party,"24,937"
Stewart Malcolm McDonald,StewartMcDonald,Glasgow South,Scottish National Party,"25,808"
Stuart C. McDonald,Stuart_McDonald,"Cumbernauld, Kilsyth and Kirkintilloch East",Scottish National Party,"10,451"
Tommy Sheppard,TommySheppard,Edinburgh East,Scottish National Party,"29,166"
Christopher Hazzard,ChrisHazzardSF,South Down,Sinn Fein,"12,187"
Elisha McCallion,ElishaMcC_SF,Foyle,Sinn Fein,"6,409"
Francie Molloy,FrancieMolloy,Mid Ulster,Sinn Fein,"6,443"
Michelle Gildernew,gildernewm,Fermanagh and South Tyrone,Sinn Fein,"15,989"
Mickey Brady,MickeyBradySF,Newry and Armagh,Sinn Fein,"4,102"
Órfhlaith Begley,OrfhlaithBegley,West Tyrone,Sinn Fein,"4,810"
Paul Maskey,PaulMaskeyMP,Belfast West,Sinn Fein,"14,655"
Ann Coffey,anncoffey_mp,Stockport,The Independent Group,"19,805"
Anna Soubry,Anna_Soubry,Broxtowe,The Independent Group,"179,300"
Chris Leslie,ChrisLeslieMP,Nottingham East,The Independent Group,"48,808"
Joan Ryan,joanryanEnfield,Enfield North,The Independent Group,"18,718"
Mike Gapes,MikeGapes,Ilford South,The Independent Group,"40,863"
